Date,Box_Name,Group_Name,Client_Type,Active_Users,Total_Chat_Conversations,Total_Messages,Total_Credits_Used,Total_Overage_Credits_Used,Auto_messages,Claude_Opus_4.6_messages,Claude_Sonnet_4.6_messages,DeepSeek_V3.2_messages,Qwen3_Coder_Next_messages
2026-04-05,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,1,6,2.05,0.0,2,0,1,1,2
2026-04-06,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,8,50,25.91,0.0,10,11,15,6,8
2026-04-06,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,22,180,97.95,0.0,38,32,54,23,33
2026-04-06,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,10,70,33.95,0.0,17,10,24,9,10
2026-04-06,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,21,155,77.33,0.0,40,20,48,22,25
2026-04-06,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,4,23,9.29,0.0,6,2,6,4,5
2026-04-06,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,2,15,6.08,0.0,5,1,3,3,3
2026-04-06,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,7,57,25.65,0.0,14,5,15,12,11
2026-04-06,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,4,1.18,0.0,1,0,1,1,1
2026-04-07,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,8,69,36.02,0.0,14,15,21,8,11
2026-04-07,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,23,179,95.4,0.0,39,31,53,24,32
2026-04-07,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,11,4.58,0.0,2,2,3,2,2
2026-04-07,Payments Transformation,Payments Modernization Team,KIRO_CLI,3,12,101,45.63,0.0,26,13,33,14,15
2026-04-07,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,30,192,96.82,0.0,49,26,60,27,30
2026-04-07,Payments Transformation,Payments Modernization Team,PLUGIN,1,2,12,4.72,0.0,3,1,4,2,2
2026-04-07,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,5,37,13.71,0.0,11,2,10,7,7
2026-04-07,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,3,11,92,38.71,0.0,26,6,24,17,19
2026-04-07,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,3,17,6.32,0.0,5,1,4,4,3
2026-04-07,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,9,62,26.51,0.0,15,4,17,15,11
2026-04-07,Retail Intelligence,Retail Analytics Team,PLUGIN,2,2,12,4.32,0.0,3,1,3,3,2
2026-04-08,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,10,63,32.1,0.0,13,14,19,7,10
2026-04-08,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,29,224,119.09,0.0,49,39,67,29,40
2026-04-08,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,10,3.87,0.0,2,1,3,2,2
2026-04-08,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,9,79,35.9,0.0,22,11,24,10,12
2026-04-08,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,23,181,93.84,0.0,46,24,57,26,28
2026-04-08,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,5,49,18.72,0.0,14,3,12,9,11
2026-04-08,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,9,68,30.85,0.0,18,5,19,12,14
2026-04-08,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,3,17,6.32,0.0,5,1,4,4,3
2026-04-08,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,11,79,33.46,0.0,20,5,21,18,15
2026-04-08,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,9,3.19,0.0,2,1,2,2,2
2026-04-09,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,24,157,87.79,0.0,32,31,47,20,27
2026-04-09,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,10,3.94,0.0,2,1,3,2,2
2026-04-09,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,8,55,23.51,0.0,14,5,18,9,9
2026-04-09,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,20,151,78.24,0.0,37,23,50,20,21
2026-04-09,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,4,42,18.62,0.0,11,3,12,8,8
2026-04-09,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,9,76,32.21,0.0,19,5,20,18,14
2026-04-09,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,4,1.11,0.0,1,0,1,1,1
2026-04-10,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,9,61,32.24,0.0,12,13,19,7,10
2026-04-10,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,26,212,113.63,0.0,45,38,63,28,38
2026-04-10,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,2,15,6.81,0.0,3,3,5,2,2
2026-04-10,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,10,68,36.92,0.0,18,12,22,7,9
2026-04-10,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,8,50,17.99,0.0,15,3,12,10,10
2026-04-10,Platform Reliability,Platform Reliability Engineering,PLUGIN,1,1,4,1.1,0.0,1,0,1,1,1
2026-04-10,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,2,15,6.06,0.0,4,1,4,3,3
2026-04-10,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,4,30,12.17,0.0,8,2,7,7,6
2026-04-11,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,1,3,22,11.43,0.0,5,4,6,3,4
2026-04-11,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,2,11,4.62,0.0,2,1,4,2,2
2026-04-11,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,4,37,20.5,0.0,9,7,12,4,5
2026-04-12,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,1,4,28,15.48,0.0,6,6,9,3,4
2026-04-12,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,4,1.14,0.0,1,0,1,1,1
2026-04-12,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,1,9,3.66,0.0,2,1,2,2,2
2026-04-12,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,4,1.22,0.0,1,0,1,1,1
2026-04-13,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,5,42,22.23,0.0,8,9,13,5,7
2026-04-13,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,16,118,63.52,0.0,24,23,35,15,21
2026-04-13,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,8,3.03,0.0,2,1,2,1,2
2026-04-13,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,5,32,16.17,0.0,8,6,10,3,5
2026-04-13,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,8,61,33.37,0.0,16,11,19,6,9
2026-04-13,Payments Transformation,Payments Modernization Team,PLUGIN,1,2,19,7.98,0.0,5,3,6,2,3
2026-04-13,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,4,31,12.34,0.0,9,1,8,6,7
2026-04-13,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,2,15,5.32,0.0,4,1,3,4,3
2026-04-14,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,7,55,24.22,0.0,13,8,15,8,11
2026-04-14,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,25,200,105.95,0.0,43,36,60,25,36
2026-04-14,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,6,50,24.0,0.0,13,9,16,5,7
2026-04-14,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,25,175,87.96,0.0,46,23,55,24,27
2026-04-14,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,7,62,24.1,0.0,17,4,17,11,13
2026-04-14,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,5,39,17.17,0.0,10,3,11,7,8
2026-04-14,Retail Intelligence,Retail Analytics Team,KIRO_CLI,2,6,41,15.48,0.0,11,3,10,9,8
2026-04-14,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,6,36,16.66,0.0,9,3,10,8,6
2026-04-14,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,8,3.03,0.0,2,1,2,2,1
2026-04-15,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,9,56,24.56,0.0,12,8,16,8,12
2026-04-15,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,28,180,100.21,0.0,37,35,54,23,31
2026-04-15,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,9,3.73,0.0,2,1,3,1,2
2026-04-15,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,4,33,14.2,0.0,7,3,12,6,5
2026-04-15,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,20,161,83.83,0.0,41,21,51,23,25
2026-04-15,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,6,44,16.85,0.0,11,3,12,8,10
2026-04-15,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,9,62,26.17,0.0,16,5,17,11,13
2026-04-15,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,8,61,25.18,0.0,16,4,16,14,11
2026-04-16,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,6,54,29.03,0.0,11,12,17,6,8
2026-04-16,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,24,217,113.94,0.0,46,40,65,27,39
2026-04-16,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,7,2.94,0.0,2,1,2,1,1
2026-04-16,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,13,96,46.15,0.0,23,15,32,13,13
2026-04-16,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,20,146,74.44,0.0,40,21,44,18,23
2026-04-16,Payments Transformation,Payments Modernization Team,PLUGIN,1,3,22,9.63,0.0,6,4,7,2,3
2026-04-16,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,5,48,17.72,0.0,14,2,12,9,11
2026-04-16,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,3,7,61,24.94,0.0,18,4,15,10,14
2026-04-16,Retail Intelligence,Retail Analytics Team,KIRO_CLI,2,4,39,15.07,0.0,10,3,10,8,8
2026-04-16,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,8,62,26.09,0.0,16,4,16,14,12
2026-04-17,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,8,50,26.11,0.0,10,11,16,5,8
2026-04-17,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,24,195,105.13,0.0,42,36,58,25,34
2026-04-17,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,6,2.64,0.0,1,1,2,1,1
2026-04-17,Payments Transformation,Payments Modernization Team,KIRO_CLI,3,14,103,46.06,0.0,26,14,32,15,16
2026-04-17,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,10,85,46.57,0.0,22,15,27,9,12
2026-04-17,Payments Transformation,Payments Modernization Team,PLUGIN,1,2,16,7.24,0.0,4,3,5,2,2
2026-04-17,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,3,28,10.76,0.0,8,2,7,5,6
2026-04-17,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,4,13,88,35.96,0.0,26,5,23,16,18
2026-04-17,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,10,3.78,0.0,2,1,3,2,2
2026-04-18,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,2,18,9.37,0.0,4,4,5,2,3
2026-04-18,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,1,5,42,24.22,0.0,8,9,13,5,7
2026-04-18,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,4,1.11,0.0,1,0,1,1,1
2026-04-18,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,2,17,8.45,0.0,4,3,6,2,2
2026-04-18,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,3,30,16.79,0.0,8,5,10,3,4
2026-04-18,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,1,11,4.89,0.0,3,1,3,2,2
2026-04-18,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,2,12,5.34,0.0,3,1,3,3,2
2026-04-19,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,1,2,19,9.72,0.0,4,3,5,3,4
2026-04-20,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,7,57,30.26,0.0,11,13,18,6,9
2026-04-20,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,24,197,106.78,0.0,43,36,58,25,35
2026-04-20,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,8,76,37.21,0.0,18,11,26,11,10
2026-04-20,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,19,169,86.32,0.0,44,21,53,24,27
2026-04-20,Payments Transformation,Payments Modernization Team,PLUGIN,1,2,20,9.07,0.0,5,4,6,2,3
2026-04-20,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,4,27,10.57,0.0,7,2,8,5,5
2026-04-20,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,8,57,24.86,0.0,15,4,16,10,12
2026-04-20,Platform Reliability,Platform Reliability Engineering,PLUGIN,1,1,5,1.7,0.0,1,0,2,1,1
2026-04-20,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,6,45,19.51,0.0,11,4,12,10,8
2026-04-21,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,15,106,51.31,0.0,22,20,33,13,18
2026-04-21,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,29,234,129.34,0.0,50,43,70,30,41
2026-04-21,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,2,6,40,17.86,0.0,8,8,12,5,7
2026-04-21,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,13,88,42.03,0.0,21,13,30,11,13
2026-04-21,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,28,199,99.32,0.0,52,25,61,29,32
2026-04-21,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,3,12,85,32.34,0.0,24,5,23,16,17
2026-04-21,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,4,12,101,43.26,0.0,28,7,27,17,22
2026-04-21,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,3,26,9.71,0.0,6,2,7,6,5
2026-04-21,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,5,49,22.3,0.0,12,4,13,11,9
2026-04-21,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,5,1.35,0.0,2,0,1,1,1
2026-04-22,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,4,26,11.52,0.0,6,3,8,4,5
2026-04-22,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,32,232,122.28,0.0,51,40,67,31,43
2026-04-22,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,9,71,30.43,0.0,17,7,22,13,12
2026-04-22,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,25,199,101.83,0.0,51,26,62,29,31
2026-04-22,Payments Transformation,Payments Modernization Team,PLUGIN,1,4,27,11.73,0.0,7,5,8,3,4
2026-04-22,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,3,13,88,33.3,0.0,25,6,22,16,19
2026-04-22,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,4,20,133,54.85,0.0,38,8,34,25,28
2026-04-22,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,10,83,36.75,0.0,21,6,22,19,15
2026-04-23,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,12,108,54.66,0.0,23,22,33,12,18
2026-04-23,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,20,166,89.49,0.0,35,29,51,21,30
2026-04-23,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,13,107,50.83,0.0,26,16,36,14,15
2026-04-23,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,19,138,74.06,0.0,33,21,46,18,20
2026-04-23,Payments Transformation,Payments Modernization Team,PLUGIN,1,3,22,10.03,0.0,6,4,7,2,3
2026-04-23,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,10,76,29.7,0.0,21,5,20,14,16
2026-04-23,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,4,15,125,52.18,0.0,35,8,32,24,26
2026-04-23,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,7,48,20.61,0.0,11,4,13,11,9
2026-04-23,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,5,1.32,0.0,2,0,1,1,1
2026-04-24,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,4,30,12.36,0.0,7,3,9,5,6
2026-04-24,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,25,215,117.07,0.0,46,39,64,28,38
2026-04-24,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,1,9,3.53,0.0,2,1,3,1,2
2026-04-24,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,27,208,104.58,0.0,55,27,65,29,32
2026-04-24,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,8,72,28.62,0.0,19,5,20,14,14
2026-04-24,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,8,65,28.24,0.0,17,5,17,12,14
2026-04-24,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,7,41,19.05,0.0,10,4,11,9,7
2026-04-25,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,1,4,27,14.29,0.0,6,4,8,4,5
2026-04-25,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,5,40,17.66,0.0,11,3,12,7,7
2026-04-25,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,3,23,9.3,0.0,6,1,6,5,5
2026-04-26,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,5,34,17.71,0.0,8,6,10,4,6
2026-04-26,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,2,18,8.53,0.0,5,3,5,2,3
2026-04-26,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,1,12,5.11,0.0,4,1,3,2,2
2026-04-27,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,24,200,102.74,0.0,43,35,59,27,36
2026-04-27,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,7,42,20.66,0.0,11,8,13,4,6
2026-04-27,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,25,183,93.05,0.0,47,24,57,26,29
2026-04-27,Payments Transformation,Payments Modernization Team,PLUGIN,1,3,20,9.24,0.0,5,4,6,2,3
2026-04-27,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,6,46,17.33,0.0,13,3,12,9,9
2026-04-27,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,3,9,73,30.37,0.0,21,4,19,14,15
2026-04-27,Platform Reliability,Platform Reliability Engineering,PLUGIN,1,1,4,1.08,0.0,1,0,1,1,1
2026-04-27,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,7,42,19.15,0.0,10,4,11,9,8
2026-04-28,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,14,109,52.8,0.0,23,21,32,14,19
2026-04-28,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,31,223,116.57,0.0,48,39,66,29,41
2026-04-28,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,1,3,24,11.15,0.0,5,5,7,3,4
2026-04-28,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,7,57,27.77,0.0,15,10,18,6,8
2026-04-28,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,27,226,115.91,0.0,58,29,71,32,36
2026-04-28,Payments Transformation,Payments Modernization Team,PLUGIN,1,2,15,6.37,0.0,3,2,5,3,2
2026-04-28,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,7,60,24.19,0.0,15,5,17,11,12
2026-04-28,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,3,11,87,36.77,0.0,24,6,22,17,18
2026-04-28,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,9,77,33.08,0.0,20,6,20,17,14
2026-04-28,Retail Intelligence,Retail Analytics Team,PLUGIN,1,2,12,4.09,0.0,3,1,3,3,2
2026-04-29,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,8,63,32.91,0.0,13,14,19,7,10
2026-04-29,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,31,220,121.27,0.0,47,38,66,29,40
2026-04-29,AI Delivery Acceleration,AI SDLC Enablement Team,PLUGIN,3,6,47,20.78,0.0,10,9,14,5,9
2026-04-29,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,10,84,39.72,0.0,23,12,25,10,14
2026-04-29,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,26,231,115.83,0.0,60,30,73,32,36
2026-04-29,Payments Transformation,Payments Modernization Team,PLUGIN,1,3,26,10.84,0.0,7,5,8,2,4
2026-04-29,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,6,50,20.18,0.0,12,4,14,10,10
2026-04-29,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,5,45,20.19,0.0,11,4,13,8,9
2026-04-29,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,9,87,38.04,0.0,23,7,22,19,16
2026-04-30,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,11,90,44.5,0.0,19,18,27,10,16
2026-04-30,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,36,253,135.18,0.0,54,45,75,33,46
2026-04-30,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,7,64,32.33,0.0,17,12,20,6,9
2026-04-30,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,19,155,76.33,0.0,43,21,46,20,25
2026-04-30,Payments Transformation,Payments Modernization Team,PLUGIN,1,3,23,10.39,0.0,6,4,8,2,3
2026-04-30,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,12,79,30.72,0.0,21,6,21,15,16
2026-04-30,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,7,59,25.22,0.0,16,4,15,11,13
2026-04-30,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,3,27,10.11,0.0,7,2,7,6,5
2026-04-30,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,4,39,17.65,0.0,9,3,11,9,7
2026-04-30,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,6,1.6,0.0,2,0,1,2,1
2026-05-01,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,2,10,83,95.37,0.0,18,17,24,10,14
2026-05-01,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,22,145,206.36,0.0,30,29,43,18,25
2026-05-01,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,18,128,144.25,0.0,31,20,42,16,19
2026-05-01,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,5,39,14.52,0.0,12,3,9,7,8
2026-05-01,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,4,35,14.23,0.0,11,2,8,6,8
2026-05-01,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,6,59,74.27,0.0,15,4,15,14,11
2026-05-01,Retail Intelligence,Retail Analytics Team,PLUGIN,1,1,7,7.77,0.0,2,1,2,1,1
